Iteration,Temperature,CurrentCost,BestCost
647,13.721,3272.7,3272.7
648,13.6524,3272.7,3272.7
649,13.5842,3272.7,3272.7
650,13.5163,3272.7,3272.7
651,13.4487,3272.7,3272.7
652,13.3814,3272.7,3272.7
653,13.3145,3272.7,3272.7
654,13.248,3272.7,3272.7
655,13.1817,3272.7,3272.7
656,13.1158,3272.7,3272.7
657,13.0502,3272.7,3272.7
658,12.985,3272.7,3272.7
659,12.92,3272.7,3272.7
660,12.8554,3272.7,3272.7
661,12.7912,3272.7,3272.7
662,12.7272,3272.7,3272.7
663,12.6636,3272.7,3272.7
664,12.6003,3272.7,3272.7
665,12.5373,3272.7,3272.7
666,12.4746,3272.7,3272.7
667,12.4122,3272.7,3272.7
668,12.3501,3272.7,3272.7
669,12.2884,3272.7,3272.7
670,12.2269,3272.7,3272.7
671,12.1658,3295.26,3272.7
672,12.105,3295.26,3272.7
673,12.0445,3295.26,3272.7
674,11.9842,3295.26,3272.7
675,11.9243,3295.26,3272.7
676,11.8647,3295.26,3272.7
677,11.8054,3295.26,3272.7
678,11.7463,3295.26,3272.7
679,11.6876,3295.26,3272.7
680,11.6292,3295.26,3272.7
681,11.571,3295.26,3272.7
682,11.5132,3295.26,3272.7
683,11.4556,3295.26,3272.7
684,11.3983,3295.26,3272.7
685,11.3413,3295.26,3272.7
686,11.2846,3295.26,3272.7
687,11.2282,3295.26,3272.7
688,11.1721,3295.26,3272.7
689,11.1162,3295.26,3272.7
690,11.0606,3295.26,3272.7
691,11.0053,3295.26,3272.7
692,10.9503,3295.26,3272.7
693,10.8955,3295.26,3272.7
694,10.8411,3295.26,3272.7
695,10.7869,3295.26,3272.7
696,10.7329,3295.26,3272.7
697,10.6793,3295.26,3272.7
698,10.6259,3295.26,3272.7
699,10.5727,3295.26,3272.7
700,10.5199,3295.26,3272.7
701,10.4673,3295.26,3272.7
702,10.4149,3295.26,3272.7
703,10.3629,3295.26,3272.7
704,10.311,3295.26,3272.7
705,10.2595,3295.26,3272.7
706,10.2082,3295.26,3272.7
707,10.1572,3295.26,3272.7
708,10.1064,3295.26,3272.7
709,10.0558,3290.84,3272.7
710,10.0056,3290.84,3272.7
711,9.95553,3290.84,3272.7
712,9.90575,3290.84,3272.7
713,9.85622,3290.84,3272.7
714,9.80694,3290.84,3272.7
715,9.75791,3290.84,3272.7
716,9.70912,3290.84,3272.7
717,9.66057,3290.84,3272.7
718,9.61227,3290.84,3272.7
719,9.56421,3290.84,3272.7
720,9.51639,3290.84,3272.7
721,9.46881,3290.84,3272.7
722,9.42146,3290.84,3272.7
723,9.37435,3290.84,3272.7
724,9.32748,3290.84,3272.7
725,9.28084,3290.84,3272.7
726,9.23444,3290.84,3272.7
727,9.18827,3290.84,3272.7
728,9.14233,3290.84,3272.7
729,9.09662,3290.84,3272.7
730,9.05113,3290.84,3272.7
731,9.00588,3290.84,3272.7
732,8.96085,3290.84,3272.7
733,8.91604,3290.84,3272.7
734,8.87146,3290.84,3272.7
735,8.82711,3290.84,3272.7
736,8.78297,3290.84,3272.7
737,8.73906,3290.84,3272.7
738,8.69536,3290.84,3272.7
739,8.65188,3290.84,3272.7
740,8.60862,3290.84,3272.7
741,8.56558,3290.84,3272.7
742,8.52275,3290.84,3272.7
743,8.48014,3290.84,3272.7
744,8.43774,3290.84,3272.7
745,8.39555,3290.84,3272.7
746,8.35357,3290.84,3272.7
747,8.3118,3290.84,3272.7
748,8.27025,3290.84,3272.7
749,8.22889,3290.84,3272.7
750,8.18775,3290.84,3272.7
751,8.14681,3290.84,3272.7
752,8.10608,3290.84,3272.7
753,8.06555,3290.84,3272.7
754,8.02522,3290.84,3272.7
755,7.98509,3290.84,3272.7
756,7.94517,3290.84,3272.7
757,7.90544,3290.84,3272.7
758,7.86591,3290.84,3272.7
759,7.82658,3290.84,3272.7
760,7.78745,3290.84,3272.7
761,7.74851,3290.84,3272.7
